TimeStamp,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,AUX_RIGHT,AUX_LEFT,Accelerometer_X,Accelerometer_Y,Accelerometer_Z,Gyro_X,Gyro_Y,Gyro_Z,HeadBandOn,HSI_TP9,HSI_AF7,HSI_AF8,HSI_TP10,Battery,Elements
2024-02-10 18:34:44.527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/event/connected MuseS-4FA5
2024-02-10 18:34:44.542,0.73931074,0.092385486,0.8671861,0.89594847,0.97905135,0.47529364,0.51356655,0.7350157,1.0524656,1.1576638,0.559305,0.42685694,0.67383265,1.6477717,0.1800944,0.7481493,0.2441298,1.1857039,-0.25549263,0.57419086,784.10254,805.8608,804.2491,800.6227,NaN,NaN,-0.342529296875,-0.06903076171875,0.917724609375,4.02252197265625,-0.91217041015625,4.88983154296875,1,1.0,1.0,1.0,1.0,100.00
2024-02-10 18:34:45.164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2024-02-10 18:34:45.548,0.73931074,0.092385486,0.74583185,0.89594847,0.97905135,0.47529364,0.32616875,0.7350157,1.0524656,1.1576638,0.3618905,0.42685694,0.67383265,1.6477717,0.1637503,0.7481493,0.2441298,1.1857039,-0.330687,0.57419086,786.9231,796.5934,790.14655,790.14655,NaN,NaN,-0.4080810546875,-0.04730224609375,0.9188232421875,4.02252197265625,-0.91217041015625,4.88983154296875,1,2.0,1.0,1.0,2.0,100.00
2024-02-10 18:34:45.766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2024-02-10 18:34:46.035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2024-02-10 18:34:46.551,0.73931074,0.092385486,0.59095895,0.89594847,0.97905135,0.47529364,-0.04362736,0.7350157,1.0524656,1.1576638,0.34818262,0.42685694,0.67383265,1.6477717,0.099459514,0.7481493,0.2441298,1.1857039,-0.10579436,0.57419086,793.36993,797.8022,802.6374,789.34064,NaN,NaN,-0.43707275390625,-0.0682373046875,0.871826171875,4.02252197265625,-0.91217041015625,4.88983154296875,1,2.0,1.0,1.0,2.0,100.00
2024-02-10 18:34:47.071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2024-02-10 18:34:47.554,1.5727334,0.092385486,0.851495,0.89594847,1.2668303,0.47529364,-0.04311632,0.7350157,1.1276354,1.1576638,0.31139666,0.42685694,0.9050381,1.6477717,0.23394105,0.7481493,0.34017938,1.1857039,0.118554845,0.57419086,743.8095,789.7436,784.90845,760.32965,NaN,NaN,-0.43170166015625,-0.070068359375,0.87164306640625,4.02252197265625,-0.91217041015625,4.88983154296875,1,1.0,1.0,1.0,1.0,100.00
2024-02-10 18:34:47.773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2024-02-10 18:34:48.557,1.5697956,0.092385486,0.86143816,0.89594847,1.2950577,0.47529364,0.59577,0.7350157,1.0440618,1.1576638,0.5632102,0.42685694,0.8288985,1.6477717,0.2114722,0.7481493,0.35772318,1.1857039,-0.24369965,0.57419086,803.8461,807.8755,800.6227,801.4286,NaN,NaN,-0.42877197265625,-0.07763671875,0.88592529296875,4.02252197265625,-0.91217041015625,4.88983154296875,1,1.0,1.0,1.0,1.0,100.00
2024-02-10 18:34:49.175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2024-02-10 18:34:49.562,1.5697956,0.092385486,0.6630466,0.89594847,1.2950577,0.47529364,0.34150434,0.7350157,1.0440618,1.1576638,0.52854365,0.42685694,0.8288985,1.6477717,0.13889408,0.7481493,0.35772318,1.1857039,-0.22204764,0.57419086,776.4469,786.1172,797.3993,772.8205,NaN,NaN,-0.445068359375,0.0087890625,0.86810302734375,4.02252197265625,-0.91217041015625,4.88983154296875,1,2.0,1.0,1.0,2.0,100.00
2024-02-10 18:34:50.014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2024-02-10 18:34:50.565,1.5697956,0.092385486,0.5541606,0.89594847,1.2950577,0.47529364,0.276923,0.7350157,1.0440618,1.1576638,0.27704233,0.42685694,0.8288985,1.6477717,0.18184277,0.7481493,0.35772318,1.1857039,-0.1875676,0.57419086,793.36993,783.2967,792.96704,798.20514,NaN,NaN,-0.4493408203125,0.016845703125,0.8642578125,4.02252197265625,-0.91217041015625,4.88983154296875,1,2.0,1.0,1.0,2.0,100.00
2024-02-10 18:34:51.569,1.5697956,0.092385486,0.14838041,0.89594847,1.2950577,0.47529364,-0.033988576,0.7350157,1.0440618,1.1576638,0.58585405,0.42685694,0.8288985,1.6477717,0.68573534,0.7481493,0.35772318,1.1857039,0.45158052,0.57419086,840.10986,797.3993,785.7143,845.34796,NaN,NaN,-0.44580078125,0.01513671875,0.8734130859375,4.02252197265625,-0.91217041015625,4.88983154296875,1,2.0,1.0,1.0,2.0,100.00
2024-02-10 18:34:51.620,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2024-02-10 18:34:52.574,1.5697956,0.092385486,-0.046941545,0.89594847,1.2950577,0.47529364,0.10470919,0.7350157,1.0440618,1.1576638,0.6366476,0.42685694,0.8288985,1.6477717,0.78273386,0.7481493,0.35772318,1.1857039,0.6359792,0.57419086,787.72894,775.2381,799.011,781.685,NaN,NaN,-0.4459228515625,0.0107421875,0.881591796875,4.02252197265625,-0.91217041015625,4.88983154296875,1,2.0,1.0,1.0,2.0,100.00
2024-02-10 18:34:53.580,0.64371747,0.092385486,-0.2463937,0.40114328,0.2703582,0.47529364,-0.2636231,0.31748363,0.5985409,1.1576638,0.30823153,0.680852,0.4467863,1.6477717,0.7227737,0.4544879,0.0967759,1.1857039,0.4686396,0.50308305,786.9231,800.2198,801.4286,787.72894,NaN,NaN,-0.444580078125,0.01239013671875,0.87408447265625,4.02252197265625,-0.91217041015625,4.88983154296875,1,1.0,1.0,1.0,1.0,100.00
2024-02-10 18:34:53.872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
